x,y,condition
-16.215342,18.045898,Clean
0.97201437,-18.427078,Clean
-31.166904,-1.5375137,Clean
-14.379223,-12.668856,Clean
-20.61113,-16.611881,Clean
20.529486,13.750076,Clean
-40.623634,-4.7932568,Clean
16.769516,-35.118797,Clean
-14.137141,-25.364325,Clean
-36.43543,-0.5871664,Clean
-14.868369,21.579464,Clean
-29.00881,23.981358,Clean
0.34504238,-17.455927,Clean
-40.561493,-13.888176,Clean
-13.194588,27.193855,Clean
-24.110586,-7.107301,Clean
10.68039,-19.322277,Clean
0.25231194,11.19736,Clean
14.035628,-24.724121,Clean
2.8888197,-26.847628,Clean
16.806639,-11.539265,Clean
11.565492,-10.974215,Clean
13.7695055,10.817036,Clean
2.8477955,15.116242,Clean
-13.494349,-11.98914,Clean
-15.447398,-25.899162,Clean
6.372739,2.4723022,Clean
-32.547836,18.054161,Clean
-29.75024,30.176956,Clean
-38.111317,-16.45695,Clean
-23.91515,-19.951195,Clean
-4.950465,-31.46056,Clean
7.3595257,-29.003761,Clean
-17.745226,-11.912633,Clean
21.899652,3.7808957,Clean
-14.961936,-4.1397696,Clean
-30.361376,-16.375683,Clean
-4.304514,-33.60949,Clean
-13.614445,-21.797878,Clean
8.498989,3.1169367,Clean
19.50227,-14.856448,Clean
-38.40148,3.7087202,Clean
-27.645115,29.41479,Clean
-22.28945,-20.57576,Clean
1.9037464,-12.789745,Clean
-22.070467,-24.743498,Clean
9.791312,-29.292597,Clean
-26.468517,-14.641572,Clean
17.12213,-26.935669,Clean
-17.329992,-8.070095,Clean
-37.868267,-8.232696,Clean
-11.673628,27.402283,Clean
15.750946,-29.445393,Clean
12.594911,7.337673,Clean
-8.086353,0.18894061,Clean
47.192863,2.7240472,Clean
-14.312998,-10.632399,Clean
-16.47506,-6.341867,Clean
-20.409681,-23.291527,Clean
-36.12863,-4.972696,Clean
8.617027,-33.902374,Clean
18.458607,-1.655228,Clean
-24.210436,20.137178,Clean
-3.7893615,-25.194403,Clean
9.176548,4.617194,Clean
16.333536,-36.280407,Clean
20.78493,-13.232019,Clean
-37.688747,5.3292384,Clean
-8.213394,-20.815351,Clean
-26.689533,31.89307,Clean
-24.07492,-16.892052,Clean
-21.529001,-21.955067,Clean
-7.459931,-1.4981405,Clean
19.933737,-1.8088522,Clean
-4.098466,-23.641188,Clean
28.623568,-4.091869,Clean
-31.486366,1.3253286,Clean
14.799664,-28.010187,Clean
-27.45677,-18.576464,Clean
20.374884,18.220716,Clean
8.587106,-30.738073,Clean
-19.700893,-8.671205,Clean
-19.75087,-22.236656,Clean
-2.131432,-13.943625,Clean
-0.7033682,-30.648645,Clean
20.731342,4.717164,Clean
-13.418861,-6.758955,Clean
44.975937,-5.468775,Clean
42.443462,7.8971043,Clean
7.394531,2.2258248,Clean
29.389002,-5.5730357,Clean
-28.845419,-1.7213588,Clean
-13.672351,25.92026,Clean
34.608086,6.365851,Clean
6.932102,28.014143,Clean
-0.8917063,-10.097878,Clean
31.774391,4.1494627,Clean
8.8886175,-19.697292,Clean
46.002644,-5.071735,Clean
-13.924194,-17.503332,Clean
41.87502,-4.902255,Clean
17.757015,-35.967724,Clean
-10.331301,-16.592306,Clean
41.697853,3.8374848,Clean
0.32614923,-9.725531,Clean
20.652102,-14.615083,Clean
-25.717527,-19.103638,Clean
-1.8408855,-15.444041,Clean
-39.110218,-15.089658,Clean
38.8268,0.578858,Clean
38.42545,-2.2045941,Clean
32.030407,16.101122,Clean
-6.3170514,-20.489147,Clean
-17.624146,-6.9335055,Clean
36.817463,-9.588864,Clean
10.054798,2.9396932,Clean
-2.5982652,-31.61271,Clean
23.989237,-12.478747,Clean
2.24561,-32.53974,Clean
22.561972,13.142199,Clean
9.163615,1.115982,Clean
-35.700855,15.568947,Clean
16.561636,-13.304578,Clean
4.925901,-30.119558,Clean
-31.014507,-17.68044,Clean
-38.424286,-1.6970426,Clean
27.80845,0.81494063,Clean
16.083187,-14.83618,Clean
42.589542,-8.756916,Clean
-33.98367,-15.453996,Clean
-39.296272,-1.628002,Clean
5.790131,-18.384062,Clean
20.092531,21.12542,Clean
-2.8575506,-7.221388,Clean
3.3969536,-17.02909,Clean
-39.026093,-2.3455114,Clean
-41.062798,-3.3332748,Clean
-13.7319565,-18.861649,Clean
-8.634027,-18.187218,Clean
-2.8880374,-33.555473,Clean
-27.764277,-5.0139174,Clean
-19.34742,-11.30479,Clean
4.7644877,-33.037693,Clean
39.075996,6.6828837,Clean
40.929585,-7.5341754,Clean
38.09715,9.177919,Clean
-3.4625294,-16.003553,Clean
-36.940865,-16.396763,Clean
-39.521538,-17.825514,Clean
35.398247,-4.1831303,Clean
37.927208,-15.860995,Clean
37.534504,-5.5852427,Clean
-22.770428,-7.1543307,Clean
20.357332,-26.159035,Clean
39.215908,-9.374967,Clean
10.1560135,-30.006056,Clean
12.931307,-10.764757,Clean
35.72114,-0.7902473,Clean
23.135656,-13.250873,Clean
-17.129906,22.124973,Clean
-23.253563,-22.06161,Clean
-43.999466,-5.25329,Clean
-2.6396017,-8.644862,Clean
-27.17859,0.4478854,Clean
35.417244,4.6855927,Clean
-15.744534,19.206871,Clean
44.500885,-9.14726,Clean
-1.2617947,-17.333776,Clean
-14.062509,23.80702,Clean
15.009324,8.299114,Clean
-0.7209691,-27.322956,Clean
18.821861,-3.3088343,Clean
40.19126,-12.548946,Clean
-39.58201,-16.320599,Clean
39.113735,-13.741222,Clean
11.681119,-27.555073,Clean
-16.19364,26.182508,Clean
